gap_ticker,ticker,name,category,isdelisted,exchange,location,currency,permaticker,cusips,siccode,sicsector,sicindustry,famaindustry,sector,industry,relatedtickers,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,lastupdated,secfilings,companysite,table,figi,scalemarketcap,scalerevenue
AV1,AV1,AVAYA INC,Domestic Common Stock,Y,NYSE,New Jersey; U.S.A,USD,196022,053499109,3661,Manufacturing,Telephone & Telegraph Apparatus,Electronic Equipment,Technology,Communication Equipment,AV,2015-12-02,2000-09-20,2007-10-25,1998-09-30,2007-06-30,2020-10-26,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001116521,,SF1,,4 - Mid,4 - Mid
AV1,AV1,AVAYA INC,Domestic Common Stock,Y,NYSE,New Jersey; U.S.A,USD,196022,053499109,3661,Manufacturing,Telephone & Telegraph Apparatus,Electronic Equipment,Technology,Communication Equipment,AV,2015-12-02,2000-09-20,2007-10-25,1998-09-30,2007-06-30,2018-06-13,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001116521,,SEP,,4 - Mid,4 - Mid
,LTM1,LIFE TIME FITNESS INC,Domestic Common Stock,Y,NYSE,Minnesota; U.S.A,USD,196449,53217R207,7997,Services,Services-Membership Sports & Recreation Clubs,Entertainment,Consumer Cyclical,Leisure,LTM,2014-09-30,2004-06-30,2015-06-10,2003-06-30,2015-03-31,2019-05-24,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001076195,,SF1,,4 - Mid,3 - Small
,LTM1,LIFE TIME FITNESS INC,Domestic Common Stock,Y,NYSE,Minnesota; U.S.A,USD,196449,53217R207,7997,Services,Services-Membership Sports & Recreation Clubs,Entertainment,Consumer Cyclical,Leisure,LTM,2014-09-30,2004-06-30,2015-06-10,2003-06-30,2015-03-31,2018-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001076195,,SEP,,4 - Mid,3 - Small
,LTM1,LIFE TIME FITNESS INC,Domestic Common Stock,Y,NYSE,Minnesota; U.S.A,USD,196449,53217R207,7997,Services,Services-Membership Sports & Recreation Clubs,Entertainment,Consumer Cyclical,Leisure,LTM,2014-09-30,2004-06-30,2015-06-10,2003-06-30,2015-03-31,2015-06-11,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001076195,,SF2,,4 - Mid,3 - Small
,CCI,CROWN CASTLE INC,Domestic Common Stock Primary Class,N,NYSE,Texas; U.S.A,USD,196696,22822V101 228227104,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Specialty,CRRWP CCI-PA TWRS,2014-12-10,1998-08-18,2026-08-03,1997-03-31,2026-03-31,2026-05-07,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001051470,http://www.crowncastle.com,SF1,BBG000FV1Z23,5 - Large,4 - Mid
,CCI,CROWN CASTLE INC,Domestic Common Stock Primary Class,N,NYSE,Texas; U.S.A,USD,196696,22822V101 228227104,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Specialty,CRRWP CCI-PA TWRS,2014-12-10,1998-08-18,2026-08-03,1997-03-31,2026-03-31,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001051470,http://www.crowncastle.com,SEP,BBG000FV1Z23,5 - Large,4 - Mid
,CCI,CROWN CASTLE INC,Domestic Common Stock Primary Class,N,NYSE,Texas; U.S.A,USD,196696,22822V101 228227104,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Specialty,CRRWP CCI-PA TWRS,2014-12-10,1998-08-18,2026-08-03,1997-03-31,2026-03-31,2026-05-21,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001051470,http://www.crowncastle.com,SF2,BBG000FV1Z23,5 - Large,4 - Mid
,SPCBQ,SPECTRUM BRANDS INC,Domestic Common Stock,Y,NYSE,Wisconsin; U.S.A,USD,196935,755081106 84762L105 84762L204,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,Electrical Equipment,Industrials,Electrical Equipment & Parts,SPCB ROV SPC,2015-11-30,1997-11-24,2009-08-28,1995-12-31,2009-06-30,2023-04-19,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001028985,,SF1,,4 - Mid,4 - Mid
,SPCBQ,SPECTRUM BRANDS INC,Domestic Common Stock,Y,NYSE,Wisconsin; U.S.A,USD,196935,755081106 84762L105 84762L204,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,Electrical Equipment,Industrials,Electrical Equipment & Parts,SPCB ROV SPC,2015-11-30,1997-11-24,2009-08-28,1995-12-31,2009-06-30,2023-04-19,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001028985,,SEP,,4 - Mid,4 - Mid
,SPCBQ,SPECTRUM BRANDS INC,Domestic Common Stock,Y,NYSE,Wisconsin; U.S.A,USD,196935,755081106 84762L105 84762L204,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,Electrical Equipment,Industrials,Electrical Equipment & Parts,SPCB ROV SPC,2015-11-30,1997-11-24,2009-08-28,1995-12-31,2009-06-30,2011-02-02,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001028985,,SF2,,4 - Mid,4 - Mid
AGN1,AGN1,ALLERGAN INC,Domestic Common Stock,Y,NYSE,California; U.S.A,USD,198103,018490102,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,AGN,2014-09-27,1989-06-21,2015-03-16,1996-12-31,2014-12-31,2021-08-25,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000850693,,SF1,,5 - Large,4 - Mid
AGN1,AGN1,ALLERGAN INC,Domestic Common Stock,Y,NYSE,California; U.S.A,USD,198103,018490102,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,AGN,2014-09-27,1989-06-21,2015-03-16,1996-12-31,2014-12-31,2022-06-20,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000850693,,SEP,,5 - Large,4 - Mid
AGN1,AGN1,ALLERGAN INC,Domestic Common Stock,Y,NYSE,California; U.S.A,USD,198103,018490102,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,AGN,2014-09-27,1989-06-21,2015-03-16,1996-12-31,2014-12-31,2015-03-19,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000850693,,SF2,,5 - Large,4 - Mid
,C,CITIGROUP INC,Domestic Common Stock Primary Class,N,NYSE,New York; U.S.A,USD,198215,172967424 172967101 894190107,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PS C-PK CCI C-PP C-PC C-PL C-PR,2014-12-09,1986-01-01,2026-08-03,1994-12-31,2026-03-31,2026-05-07,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,http://www.citigroup.com,SF1,BBG000FY4S11,6 - Mega,5 - Large
,C,CITIGROUP INC,Domestic Common Stock Primary Class,N,NYSE,New York; U.S.A,USD,198215,172967424 172967101 894190107,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PS C-PK CCI C-PP C-PC C-PL C-PR,2014-12-09,1986-01-01,2026-08-03,1994-12-31,2026-03-31,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,http://www.citigroup.com,SEP,BBG000FY4S11,6 - Mega,5 - Large
,C,CITIGROUP INC,Domestic Common Stock Primary Class,N,NYSE,New York; U.S.A,USD,198215,172967424 172967101 894190107,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PS C-PK CCI C-PP C-PC C-PL C-PR,2014-12-09,1986-01-01,2026-08-03,1994-12-31,2026-03-31,2026-07-02,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,http://www.citigroup.com,SF2,BBG000FY4S11,6 - Mega,5 - Large
,CITIGR,CITIGROUP INC,Institutional Investor,,,New York; U.S.A,USD,198215,,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,,,,,2013-06-30,2026-06-30,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,http://www.citigroup.com,SF3B,BBG000FY4S11,,
,TRAVEL,TRAVELERS COMPANIES INC,Institutional Investor,,,Minnesota; U.S.A,USD,199376,,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,,,,,2013-06-30,2026-03-31,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000086312,http://www.travelers.com,SF3B,BBG000BJ81C1,,
,TRV,TRAVELERS COMPANIES INC,Domestic Common Stock,N,NYSE,Minnesota; U.S.A,USD,199376,89417E109 792860108 792856205,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,STA SPC,2014-12-07,1986-07-09,2026-08-03,1992-12-31,2026-06-30,2026-07-17,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000086312,http://www.travelers.com,SF1,BBG000BJ81C1,5 - Large,5 - Large
,TRV,TRAVELERS COMPANIES INC,Domestic Common Stock,N,NYSE,Minnesota; U.S.A,USD,199376,89417E109 792860108 792856205,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,STA SPC,2014-12-07,1986-07-09,2026-08-03,1992-12-31,2026-06-30,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000086312,http://www.travelers.com,SEP,BBG000BJ81C1,5 - Large,5 - Large
,TRV,TRAVELERS COMPANIES INC,Domestic Common Stock,N,NYSE,Minnesota; U.S.A,USD,199376,89417E109 792860108 792856205,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,STA SPC,2014-12-07,1986-07-09,2026-08-03,1992-12-31,2026-06-30,2026-07-27,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000086312,http://www.travelers.com,SF2,BBG000BJ81C1,5 - Large,5 - Large
,SHLD1,VICTORYSHARES PROTECT AMERICA ETF,ETF,Y,NASDAQ,Ohio; U.S.A,USD,632516,92647X871,,,,,,,SHLD,2020-11-11,2020-11-06,2021-10-11,,,2023-09-13,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001547580,,SFP,BBG00Y2J78Q8,,
PHSYB,PHSYB,PACIFICARE HEALTH SYSTEMS INC,Domestic Common Stock Secondary Class,Y,NYSE,California; U.S.A,USD,636090,695110205 695112201,6324,Finance Insurance And Real Estate,Hospital & Medical Service Plans,Insurance,Healthcare,Healthcare Plans,PHS PHSYA PHSY,2021-08-30,1992-06-11,1999-06-24,,,2021-08-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001027974,,SEP,,,
,ACT,ENACT HOLDINGS INC,Domestic Common Stock,N,NASDAQ,North Carolina; U.S.A,USD,636188,29249E109,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,Insurance,Financial Services,Insurance - Specialty,,2021-09-16,2021-09-16,2026-08-03,2019-12-31,2026-03-31,2026-05-07,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001823529,https://enactmi.com,SF1,BBG00WSNP4R3,4 - Mid,3 - Small
,ACT,ENACT HOLDINGS INC,Domestic Common Stock,N,NASDAQ,North Carolina; U.S.A,USD,636188,29249E109,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,Insurance,Financial Services,Insurance - Specialty,,2021-09-16,2021-09-16,2026-08-03,2019-12-31,2026-03-31,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001823529,https://enactmi.com,SEP,BBG00WSNP4R3,4 - Mid,3 - Small
,ACT,ENACT HOLDINGS INC,Domestic Common Stock,N,NASDAQ,North Carolina; U.S.A,USD,636188,29249E109,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,Insurance,Financial Services,Insurance - Specialty,,2021-09-16,2021-09-16,2026-08-03,2019-12-31,2026-03-31,2026-07-01,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001823529,https://enactmi.com,SF2,BBG00WSNP4R3,4 - Mid,3 - Small
,CUSD,CROSSINGBRIDGE ULTRA-SHORT DURATION ETF,ETF,Y,NASDAQ,Wisconsin; U.S.A,USD,636213,89834G778,,,,,,,SPC,2021-09-21,2021-09-21,2026-07-13,,,2026-07-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001141819,,SFP,BBG012N113T7,,
,OPTX,SYNTEC OPTICS HOLDINGS INC,Domestic Common Stock Primary Class,N,NASDAQ,Florida; U.S.A,USD,636651,68218C108 87169M105,3827,Manufacturing,Optical Instruments & Lenses,Measuring and Control Equipment,Technology,Electronic Components,OLIT OLITU,2021-11-09,2021-11-09,2026-08-03,2021-06-30,2026-03-31,2026-05-16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001866816,https://www.syntecoptics.com,SF1,BBG01386K935,3 - Small,1 - Nano
,OPTX,SYNTEC OPTICS HOLDINGS INC,Domestic Common Stock Primary Class,N,NASDAQ,Florida; U.S.A,USD,636651,68218C108 87169M105,3827,Manufacturing,Optical Instruments & Lenses,Measuring and Control Equipment,Technology,Electronic Components,OLIT OLITU,2021-11-09,2021-11-09,2026-08-03,2021-06-30,2026-03-31,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001866816,https://www.syntecoptics.com,SEP,BBG01386K935,3 - Small,1 - Nano
,OPTX,SYNTEC OPTICS HOLDINGS INC,Domestic Common Stock Primary Class,N,NASDAQ,Florida; U.S.A,USD,636651,68218C108 87169M105,3827,Manufacturing,Optical Instruments & Lenses,Measuring and Control Equipment,Technology,Electronic Components,OLIT OLITU,2021-11-09,2021-11-09,2026-08-03,2021-06-30,2026-03-31,2026-02-23,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001866816,https://www.syntecoptics.com,SF2,BBG01386K935,3 - Small,1 - Nano
,OLITU,SYNTEC OPTICS HOLDINGS INC,Domestic Common Stock Secondary Class,Y,NASDAQ,Florida; U.S.A,USD,637355,68218C207,3827,Manufacturing,Optical Instruments & Lenses,Measuring and Control Equipment,Technology,Electronic Components,OLIT OPTX,2022-01-26,2022-01-26,2023-11-07,,,2023-11-07,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001866816,,SEP,BBG012VJBQJ8,,
,AV,CORGI AEROSPACE & COMMERCIAL AVIATION ETF,ETF,N,BATS,Delaware; U.S.A,USD,6398991,218946606,,,,,,,,2026-05-09,2026-05-06,2026-08-03,,,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002078265,,SFP,BBG0223BRHL5,,
,SHLD,GLOBAL X DEFENSE TECH ETF,ETF,N,NYSEARCA,New York; U.S.A,USD,640438,37960A529,,,,,,,,2023-09-13,2023-09-13,2026-08-03,,,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001432353,,SFP,BBG01J6K2R13,,
,LTM,LATAM AIRLINES GROUP SA,ADR Common Stock,N,NYSE,Chile,USD,642115,51817R205,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,Industrials,Airlines,,2024-07-29,2024-07-25,2026-08-03,2020-12-31,2025-12-31,2026-03-09,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001047716,https://www.latamairlinesgroup.net,SF1,BBG01PDH58Y1,5 - Large,5 - Large
,LTM,LATAM AIRLINES GROUP SA,ADR Common Stock,N,NYSE,Chile,USD,642115,51817R205,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,Industrials,Airlines,,2024-07-29,2024-07-25,2026-08-03,2020-12-31,2025-12-31,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001047716,https://www.latamairlinesgroup.net,SEP,BBG01PDH58Y1,5 - Large,5 - Large
,C-PR,CITIGROUP INC,Domestic Preferred Stock,N,NYSE,New York; U.S.A,USD,646462,172967242,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PS C-PK CCI C C-PP C-PC C-PL,2026-02-08,2026-01-29,2026-08-03,,,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,http://www.citigroup.com,SEP,BBG01ZW9WCB2,,
