decision_date,ticker,outcome,planned_shares,close_price,close_nav,cash_before_decision,required_reserve,uncommitted_cash_after_reserve,intended_capital,funding_fraction,q0_reason,buffer_basis_points
2006-07-05,MED,PLAN,205,19.49,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,ACLI,PLAN,66,59.89,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,FALB,PLAN,75,53.26,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,TTI,PLAN,131,30.37,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,CHAP1,PLAN,56,71.0,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,LFCHY,PLAN,64,61.65,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,ADM,PLAN,94,42.21,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,LVS,PLAN,53,75.06999999999998,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,MNST,PLAN,19,205.35,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,BFH,PLAN,67,58.81,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,AVL1,PLAN,84,47.38,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,LECO,PLAN,65,60.63,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,DAKT,PLAN,137,29.03,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,MTW,PLAN,89,44.87,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,VOLT2,PLAN,83,47.67,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,EXPD,PLAN,74,53.73,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,KEX,PLAN,101,39.46,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,OII,PLAN,86,46.05,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,FTI1,PLAN,57,69.18,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,WEBX1,PLAN,111,35.75,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,JLL,PLAN,46,86.25,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,AGP,PLAN,130,30.67,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,ATI,PLAN,58,68.61,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,TEX,PLAN,40,98.96,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-07-05,WCC,PLAN,60,66.6,100000.0,100000.0,0.0,100000.0,4000.0,1.0,,0
2006-09-07,CMCSK,PLAN,101,34.86,88313.27174698001,10600.901746980015,0.0,10600.901746980015,3532.5308698792005,1.0,,0
2006-09-11,HCR1,PLAN,65,52.21,86078.59694808102,7072.476948081014,0.0,7072.476948081014,3443.143877923241,1.0,,0
2006-09-15,CXW,PLAN,80,43.47,87240.796359581,6458.086359581013,0.0,6458.086359581013,3489.63185438324,1.0,,0
2006-10-03,CMCSA,PLAN,94,37.07,87203.226659581,9694.126659581016,0.0,9694.126659581016,3488.1290663832406,1.0,,0
2006-10-16,EPC,PLAN,49,76.62,94707.37963026502,6226.949630265017,0.0,6226.949630265017,3788.2951852106007,1.0,,0
2006-10-17,UST1,PLAN,44,55.79,94057.78603026501,2479.6060302650167,0.0,2479.6060302650167,3762.3114412106006,0.6590645322725204,,0
2006-11-01,ACAS,Q0_SKIP,0,42.74,93487.03127026501,33.591270265017286,0.0,33.591270265017286,3739.4812508106006,0.008982869016320316,CASH_SCARCITY,0
2006-11-01,BLS,Q0_SKIP,0,44.2,93487.03127026501,33.591270265017286,0.0,33.591270265017286,3739.4812508106006,0.008982869016320316,CASH_SCARCITY,0
2006-11-01,T,Q0_SKIP,0,33.76,93487.03127026501,33.591270265017286,0.0,33.591270265017286,3739.4812508106006,0.008982869016320316,CASH_SCARCITY,0
2006-11-01,NEE,Q0_SKIP,0,51.59,93487.03127026501,33.591270265017286,0.0,33.591270265017286,3739.4812508106006,0.008982869016320316,CASH_SCARCITY,0
2006-11-01,LH,Q0_SKIP,0,67.3,93487.03127026501,33.591270265017286,0.0,33.591270265017286,3739.4812508106006,0.008982869016320316,CASH_SCARCITY,0
2006-11-01,CNP,PLAN,2,15.45,93487.03127026501,33.591270265017286,0.0,33.591270265017286,3739.4812508106006,0.008982869016320316,,0
2006-12-15,MA,PLAN,41,96.19,100333.005370265,4207.055370265017,0.0,4207.055370265017,4013.3202148106,1.0,,0
2007-01-29,TSG1,PLAN,129,32.3,104538.502990265,21042.978270265015,0.0,21042.978270265015,4181.5401196106,1.0,,0
2007-01-30,CF,PLAN,136,30.77,104986.06880426501,16868.237700265017,0.0,16868.237700265017,4199.4427521706,1.0,,0
2007-01-31,MTCH,PLAN,109,38.4,104868.519204265,12689.171620265017,0.0,12689.171620265017,4194.7407681706,1.0,,0
2007-02-01,HAS,PLAN,146,28.68,105463.41655626503,8503.750380265017,0.0,8503.750380265017,4218.536662250602,1.0,,0
2007-02-02,TRA,PLAN,287,14.67,105428.93292426501,4306.437260265017,0.0,4306.437260265017,4217.157316970601,1.0,,0
2007-02-05,UIS,PLAN,11,8.849999999999998,105108.44533026499,103.42845026501709,0.0,103.42845026501709,4204.3378132106,0.02460041387255583,,0
2007-03-29,MIR2,PLAN,102,40.94,105458.88816100098,6742.7581610010175,0.0,6742.7581610010175,4218.355526440039,1.0,,0
2007-05-14,GEN1,PLAN,179,25.46,114602.45724100103,10365.552241001018,0.0,10365.552241001018,4584.098289640041,1.0,,0
2007-06-05,TRW,PLAN,119,40.04,119240.36973100102,9984.63973100102,0.0,9984.63973100102,4769.61478924004,1.0,,0
2007-06-21,NRG,PLAN,111,43.51,121227.276971001,8736.016971001021,0.0,8736.016971001021,4849.091078840041,1.0,,0
2007-07-13,GLBL1,PLAN,136,28.68,127798.69681100102,3916.471811001022,0.0,3916.471811001022,5111.947872440041,0.7661407957846815,,0
2007-08-23,TBSIQ,PLAN,117,38.17,112701.98833100102,9053.798331001022,0.0,9053.798331001022,4508.079533240041,1.0,,0
2007-08-28,DRYS,PLAN,71,61.3,109579.21063100101,4591.6406310010225,0.0,4591.6406310010225,4383.168425240041,1.0,,0
2007-09-11,GRMN,Q0_SKIP,0,106.88,113989.382931001,67.97793100102314,0.0,67.97793100102314,4559.57531724004,0.014908829500851609,CASH_SCARCITY,0
2007-09-11,OII,Q0_SKIP,0,72.29,113989.382931001,67.97793100102314,0.0,67.97793100102314,4559.57531724004,0.014908829500851609,CASH_SCARCITY,0
2007-09-11,CROX,PLAN,1,57.71,113989.382931001,67.97793100102314,0.0,67.97793100102314,4559.57531724004,0.014908829500851609,,0
2007-10-29,EDO,PLAN,89,57.65,129100.52055100103,9701.050551001046,0.0,9701.050551001046,5164.020822040041,1.0,,0
2007-11-29,MTL,PLAN,57,82.76999999999998,119806.98892100102,34560.778921001045,0.0,34560.778921001045,4792.279556840041,1.0,,0
2007-12-04,TELFY,PLAN,46,103.11,120488.90582574205,29508.895825742045,0.0,29508.895825742045,4819.5562330296825,1.0,,0
2007-12-05,SIGM,PLAN,68,71.15,121779.50743406406,24809.487434064045,0.0,24809.487434064045,4871.180297362563,1.0,,0
2007-12-10,IHS2,PLAN,71,69.05,123786.28943406403,19987.099434064043,0.0,19987.099434064043,4951.451577362562,1.0,,0
